Feature,Importance
Follicle_No_R,20.28907232823089
Follicle_No_L,6.328655042894866
CycleRI,4.835420582574146
Cycle_lengthdays,4.782118491517126
AMHngmL,3.941833174624874
Pulse_ratebpm,3.7787991825513423
Hbgdl,3.2963002605803466
WaistHip_Ratio,2.730673176337085
RBSmgdl,2.7021745721664745
PRGngmL,2.6978903637492686
Endometrium_mm,2.6750983718913046
Weight_Kg,2.57534604197985
Waistinch,2.4653225929058853
Age_yrs,2.389223728483344
RR_breathsmin,2.373206734370594
Marraige_Status_Yrs,2.293983897788092
II____betaHCGmIUmL,2.24430305999674
BMI,2.203042353353855
I___betaHCGmIUmL,2.1734226134195844
FSHLH,2.0899689961659615
BP__Systolic_mmHg,2.085069885513466
Avg_F_size_R_mm,2.04979158319774
Hipinch,1.8934788191553895
TSH_mIUL,1.8359275431841326
PRLngmL,1.805233226378469
HeightCm,1.74453459895192
LHmIUmL,1.6742534873840744
FSHmIUmL,1.6658014909701542
Blood_Group,1.6406063363802137
Avg_F_size_L_mm,1.6395783574324254
Vit_D3_ngmL,1.4634263685358966
BP__Diastolic_mmHg,1.4208248731046265
No_of_abortions,0.2156178642298788
PregnantYN,0.0
PimplesYN,0.0
Fast_food_YN,0.0
Skin_darkening_YN,0.0
hair_growthYN,0.0
Weight_gainYN,0.0
Hair_lossYN,0.0
RegExerciseYN,0.0
