iter	Passed	Remaining
0	107	31923
1	204	30312
2	299	29411
3	398	29283
4	497	29139
5	593	28865
6	689	28675
7	800	29003
8	924	29692
9	1028	29618
10	1121	29253
11	1215	28975
12	1298	28475
13	1375	27893
14	1448	27327
15	1520	26803
16	1593	26334
17	1665	25911
18	1737	25516
19	1809	25156
20	1882	24827
21	1952	24496
22	2023	24192
23	2100	23977
24	2178	23792
25	2257	23612
26	2331	23405
27	2403	23176
28	2474	22957
29	2546	22750
30	2616	22536
31	2686	22332
32	2758	22152
33	2829	21970
34	2901	21806
35	2974	21648
36	3046	21490
37	3116	21324
38	3187	21170
39	3259	21024
40	3335	20909
41	3415	20815
42	3499	20754
43	3570	20612
44	3644	20487
45	3718	20368
46	3796	20272
47	3881	20217
48	3959	20122
49	4039	20034
50	4116	19935
51	4187	19811
52	4260	19693
53	4330	19567
54	4398	19433
55	4468	19310
56	4540	19198
57	4617	19106
58	4695	19019
59	4771	18925
60	4845	18824
61	4915	18711
62	4988	18606
63	5060	18503
64	5131	18394
65	5203	18290
66	5273	18182
67	5343	18072
68	5410	17956
69	5485	17867
70	5551	17747
71	5622	17649
72	5695	17555
73	5766	17454
74	5844	17377
75	5924	17307
76	6002	17227
77	6072	17128
78	6142	17028
79	6210	16923
80	6280	16826
81	6348	16723
82	6415	16617
83	6483	16516
84	6552	16420
85	6623	16328
86	6692	16230
87	6759	16130
88	6829	16038
89	6899	15945
90	6966	15847
91	7041	15765
92	7117	15689
93	7195	15614
94	7263	15521
95	7330	15425
96	7398	15330
97	7472	15250
98	7539	15155
99	7609	15066
100	7677	14974
101	7746	14886
102	7815	14796
103	7884	14708
104	7954	14620
105	8026	14538
106	8096	14452
107	8166	14366
108	8235	14280
109	8315	14211
110	8390	14135
111	8467	14062
112	8538	13978
113	8609	13895
114	8681	13815
115	8750	13729
116	8817	13640
117	8885	13554
118	8954	13468
119	9021	13381
120	9090	13297
121	9156	13209
122	9226	13126
123	9297	13045
124	9364	12960
125	9435	12880
126	9508	12803
127	9585	12731
128	9661	12657
129	9731	12576
130	9802	12496
131	9875	12418
132	9949	12343
133	10020	12264
134	10098	12193
135	10171	12115
136	10238	12032
137	10309	11952
138	10379	11873
139	10455	11799
140	10529	11723
141	10566	11607
142	10645	11539
143	10726	11471
144	10811	11408
145	10894	11342
146	10969	11267
147	11040	11189
148	11108	11108
149	11177	11028
150	11248	10950
151	11318	10872
152	11385	10790
153	11453	10709
154	11529	10636
155	11597	10556
156	11665	10476
157	11734	10397
158	11803	10318
159	11873	10240
160	11946	10165
161	12021	10092
162	12097	10019
163	12173	9946
164	12243	9869
165	12312	9790
166	12382	9713
167	12474	9652
168	12575	9598
169	12652	9526
170	12723	9449
171	12793	9371
172	12863	9294
173	12933	9217
174	13004	9140
175	13075	9063
176	13145	8986
177	13218	8911
178	13296	8839
179	13373	8766
180	13445	8691
181	13513	8612
182	13582	8535
183	13654	8459
184	13721	8381
185	13792	8305
186	13861	8228
187	13932	8152
188	14004	8076
189	14073	7999
190	14142	7922
191	14211	7846
192	14282	7770
193	14351	7693
194	14423	7618
195	14500	7545
196	14579	7474
197	14651	7399
198	14722	7324
199	14792	7248
200	14864	7173
201	14932	7096
202	15001	7020
203	15067	6943
204	15138	6867
205	15210	6792
206	15279	6716
207	15350	6642
208	15423	6568
209	15495	6493
210	15566	6418
211	15637	6343
212	15711	6269
213	15788	6197
214	15864	6124
215	15932	6048
216	16003	5973
217	16073	5898
218	16141	5822
219	16211	5747
220	16282	5673
221	16351	5597
222	16419	5522
223	16485	5446
224	16554	5371
225	16626	5296
226	16695	5221
227	16762	5146
228	16832	5071
229	16904	4997
230	16976	4923
231	17053	4851
232	17125	4777
233	17195	4702
234	17264	4628
235	17334	4554
236	17402	4479
237	17473	4404
238	17548	4332
239	17619	4258
240	17688	4183
241	17760	4109
242	17829	4035
243	17902	3961
244	17971	3887
245	18039	3813
246	18112	3739
247	18185	3666
248	18262	3593
249	18334	3520
250	18407	3446
251	18478	3373
252	18550	3299
253	18621	3225
254	18693	3152
255	18765	3078
256	18836	3004
257	18908	2931
258	18980	2858
259	19050	2784
260	19117	2710
261	19190	2636
262	19261	2563
263	19337	2490
264	19422	2418
265	19497	2345
266	19585	2273
267	19659	2200
268	19733	2127
269	19803	2053
270	19874	1980
271	19948	1906
272	20019	1833
273	20087	1759
274	20158	1685
275	20229	1612
276	20303	1539
277	20378	1466
278	20453	1392
279	20525	1319
280	20600	1246
281	20680	1173
282	20754	1100
283	20828	1026
284	20896	953
285	20964	879
286	21033	806
287	21103	732
288	21173	659
289	21240	585
290	21308	512
291	21378	439
292	21450	366
293	21518	292
294	21585	219
295	21653	146
296	21724	73
297	21793	0
